county,precinct,office,district,party,candidate,votes
ALAMANCE,01_PATTERSON,US SENATE  - DEM,,DEM,Elaine Marshall,8
ALAMANCE,02_COBLE,US SENATE  - DEM,,DEM,Elaine Marshall,11
ALAMANCE,035_BOONE 5,US SENATE  - DEM,,DEM,Elaine Marshall,27
ALAMANCE,03C_CENTRAL BOONE,US SENATE  - DEM,,DEM,Elaine Marshall,30
ALAMANCE,03N_NORTH BOONE,US SENATE  - DEM,,DEM,Elaine Marshall,36
ALAMANCE,03N2_NORTH BOONE 2,US SENATE  - DEM,,DEM,Elaine Marshall,54
ALAMANCE,03S_SOUTH BOONE,US SENATE  - DEM,,DEM,Elaine Marshall,20
ALAMANCE,03W_WEST BOONE,US SENATE  - DEM,,DEM,Elaine Marshall,15
ALAMANCE,04_MORTON,US SENATE  - DEM,,DEM,Elaine Marshall,9
ALAMANCE,05_FAUCETTE,US SENATE  - DEM,,DEM,Elaine Marshall,10
ALAMANCE,063_GRAHAM 3,US SENATE  - DEM,,DEM,Elaine Marshall,16
ALAMANCE,064_GRAHAM 4,US SENATE  - DEM,,DEM,Elaine Marshall,31
ALAMANCE,06E_EAST GRAHAM,US SENATE  - DEM,,DEM,Elaine Marshall,20
ALAMANCE,06N_NORTH GRAHAM,US SENATE  - DEM,,DEM,Elaine Marshall,12
ALAMANCE,06S_SOUTH GRAHAM,US SENATE  - DEM,,DEM,Elaine Marshall,13
ALAMANCE,06W_WEST GRAHAM,US SENATE  - DEM,,DEM,Elaine Marshall,10
ALAMANCE,07_ALBRIGHT,US SENATE  - DEM,,DEM,Elaine Marshall,8
ALAMANCE,08N_NORTH NEWLIN,US SENATE  - DEM,,DEM,Elaine Marshall,34
ALAMANCE,08S_SOUTH NEWLIN,US SENATE  - DEM,,DEM,Elaine Marshall,19
ALAMANCE,09N_NORTH THOMPSON,US SENATE  - DEM,,DEM,Elaine Marshall,12
ALAMANCE,09S_SOUTH THOMPSON,US SENATE  - DEM,,DEM,Elaine Marshall,21
ALAMANCE,103_MELVILLE 3,US SENATE  - DEM,,DEM,Elaine Marshall,14
ALAMANCE,10N_NORTH MELVILLE,US SENATE  - DEM,,DEM,Elaine Marshall,23
ALAMANCE,10S_SOUTH MELVILLE,US SENATE  - DEM,,DEM,Elaine Marshall,41
ALAMANCE,11_PLEASANT GROVE,US SENATE  - DEM,,DEM,Elaine Marshall,31
ALAMANCE,124_BURLINGTON 4,US SENATE  - DEM,,DEM,Elaine Marshall,17
ALAMANCE,125_BURLINGTON 5,US SENATE  - DEM,,DEM,Elaine Marshall,17
ALAMANCE,126_BURLINGTON 6,US SENATE  - DEM,,DEM,Elaine Marshall,50
ALAMANCE,127_BURLINGTON 7,US SENATE  - DEM,,DEM,Elaine Marshall,23
ALAMANCE,128_BURLINGTON 8,US SENATE  - DEM,,DEM,Elaine Marshall,15
ALAMANCE,129_BURLINGTON 9,US SENATE  - DEM,,DEM,Elaine Marshall,11
ALAMANCE,1210_BURLINGTON 10,US SENATE  - DEM,,DEM,Elaine Marshall,11
ALAMANCE,12E_EAST BURLINGTON,US SENATE  - DEM,,DEM,Elaine Marshall,8
ALAMANCE,12N_NORTH BURLINGTON,US SENATE  - DEM,,DEM,Elaine Marshall,41
ALAMANCE,12S_SOUTH BURLINGTON,US SENATE  - DEM,,DEM,Elaine Marshall,5
ALAMANCE,12W_WEST BURLINGTON,US SENATE  - DEM,,DEM,Elaine Marshall,45
ALAMANCE,13_HAW RIVER,US SENATE  - DEM,,DEM,Elaine Marshall,20
ALAMANCE,ABSENTEE BY MAIL,US SENATE  - DEM,,DEM,Elaine Marshall,0
ALAMANCE,PROVISIONAL,US SENATE  - DEM,,DEM,Elaine Marshall,0
ALAMANCE,CURBSIDE,US SENATE  - DEM,,DEM,Elaine Marshall,0
ALEXANDER,B1_BETHLEHEM #1,US SENATE  - DEM,,DEM,Elaine Marshall,15
ALEXANDER,B2_BETHLEHEM #2,US SENATE  - DEM,,DEM,Elaine Marshall,19
ALEXANDER,E_ELLENDALE,US SENATE  - DEM,,DEM,Elaine Marshall,11
ALEXANDER,G1_GWALTNEY #1,US SENATE  - DEM,,DEM,Elaine Marshall,9
ALEXANDER,G2_GWALTNEY #2,US SENATE  - DEM,,DEM,Elaine Marshall,14
ALEXANDER,L_LITTLE RIVER,US SENATE  - DEM,,DEM,Elaine Marshall,4
ALEXANDER,M_MILLERS,US SENATE  - DEM,,DEM,Elaine Marshall,6
ALEXANDER,S1_SHARPES #1,US SENATE  - DEM,,DEM,Elaine Marshall,4
ALEXANDER,S2_SHARPES #2,US SENATE  - DEM,,DEM,Elaine Marshall,8
ALEXANDER,SL_SUGAR LOAF,US SENATE  - DEM,,DEM,Elaine Marshall,3
ALEXANDER,T1_TAYLORSVILLE #1,US SENATE  - DEM,,DEM,Elaine Marshall,7
ALEXANDER,T2_TAYLORSVILLE #2,US SENATE  - DEM,,DEM,Elaine Marshall,11
ALEXANDER,T3_TAYLORSVILLE #3,US SENATE  - DEM,,DEM,Elaine Marshall,12
ALEXANDER,T4_TAYLORSVILLE #4,US SENATE  - DEM,,DEM,Elaine Marshall,10
ALEXANDER,T5_TAYLORSVILLE #5,US SENATE  - DEM,,DEM,Elaine Marshall,7
ALEXANDER,W_WITTENBURG,US SENATE  - DEM,,DEM,Elaine Marshall,10
ALEXANDER,ABSENTEE BY MAIL,US SENATE  - DEM,,DEM,Elaine Marshall,1
ALEXANDER,PROVISIONAL,US SENATE  - DEM,,DEM,Elaine Marshall,0
ALEXANDER,ONE STOP,US SENATE  - DEM,,DEM,Elaine Marshall,74
ALLEGHANY,01_CHERRY LANE,US SENATE  - DEM,,DEM,Elaine Marshall,14
ALLEGHANY,02_CRANBERRY,US SENATE  - DEM,,DEM,Elaine Marshall,9
ALLEGHANY,03_GAP CIVIL,US SENATE  - DEM,,DEM,Elaine Marshall,49
ALLEGHANY,04_GLADE CREEK,US SENATE  - DEM,,DEM,Elaine Marshall,24
